Site,Y,Species,DBH,D1,D2,D3,D4,D5,D6,HEIGHT,BB,,
PJC,2015,JUMO,1.4,0,0,0,0,0,0,0.35,N,,
PJC,2015,JUMO,1.5,0,0,0,0,0,0,0.3,N,,
PJC,2015,JUMO,2.5,0,0,0,0,0,0,1.2,N,,
PJC,2015,JUMO,2.5,0,0,0,0,0,0,0.5,N,,
PJC,2015,JUMO,2.8,0,0,0,0,0,0,1.8,N,,
PJC,2015,JUMO,3,0,0,0,0,0,0,0.5,N,,
PJC,2015,JUMO,3.1,3.4,0,0,0,0,0,0.7,N,,
PJC,2015,JUMO,3.3,3.2,0,0,0,0,0,0.7,N,,
PJC,2015,JUMO,3.4,0,0,0,0,0,0,1.2,N,,
PJC,2015,JUMO,3.6,0,0,0,0,0,0,0.9,N,,
PJC,2015,JUMO,3.7,4.3,0,0,0,0,0,0.7,N,,
PJC,2015,JUMO,3.8,0,0,0,0,0,0,0.6,Y,,
PJC,2015,JUMO,3.9,3.7,0,0,0,0,0,0.6,N,,
PJC,2015,JUMO,4,4,0,0,0,0,0,1.2,N,,
PJC,2015,JUMO,4.1,0,0,0,0,0,0,0.9,N,,
PJC,2014,JUMO,4.16,0,0,0,0,0,0,1.5,N,,
PJC,2015,JUMO,4.4,2.5,0,0,0,0,0,1.8,N,,
PJC,2015,JUMO,4.6,0,0,0,0,0,0,1.1,N,,
PJC,2015,JUMO,4.7,18.7,20,0,0,0,0,1.3,N,,
PJC,2015,JUMO,4.7,5.5,3.5,2.6,4.7,0,0,1.2,N,,
PJC,2015,JUMO,5,0,0,0,0,0,0,1.35,N,,
PJC,2015,JUMO,5,5,0,0,0,0,0,1.7,N,,
PJC,2015,JUMO,5.1,10.4,0,0,0,0,0,2.1,N,,
PJC,2015,JUMO,5.2,0,0,0,0,0,0,1.1,N,,
PJC,2015,JUMO,5.5,0,0,0,0,0,0,2.3,N,,
PJC,2015,JUMO,5.7,0,0,0,0,0,0,1.7,N,,
PJC,2015,JUMO,5.8,12.2,13.2,0,0,0,0,1.6,N,,
PJC,2015,JUMO,5.8,0,0,0,0,0,0,1.3,N,,
PJC,2015,JUMO,5.9,5.3,0,0,0,0,0,1.8,N,,
PJC,2015,JUMO,6,0,0,0,0,0,0,1.5,N,,
PJC,2015,JUMO,6.2,0,0,0,0,0,0,1.7,N,,
PJC,2015,JUMO,6.6,10.5,0,0,0,0,0,1.5,N,,
PJC,2015,JUMO,6.8,0,0,0,0,0,0,0.9,N,,
PJC,2015,JUMO,6.8,0,0,0,0,0,0,1.35,N,,
PJC,2015,JUMO,6.8,0,0,0,0,0,0,1.4,N,,
PJC,2015,JUMO,6.9,0,0,0,0,0,0,0.8,N,,
PJC,2015,JUMO,7,2.7,3.1,0,0,0,0,1.8,N,,
PJC,2015,JUMO,7.2,0,0,0,0,0,0,1.4,N,,
PJC,2015,JUMO,7.3,0,0,0,0,0,0,2.5,N,,
PJC,2015,JUMO,7.3,0,0,0,0,0,0,0.8,N,,
PJC,2015,JUMO,7.4,9.9,0,0,0,0,0,1.9,N,,
PJC,2015,JUMO,7.5,0,0,0,0,0,0,1.5,N,,
PJC,2015,JUMO,7.5,7.8,10.5,19.9,0,0,0,3.5,N,,
PJC,2015,JUMO,7.8,0,0,0,0,0,0,1.6,N,,
PJC,2015,JUMO,7.8,14.9,0,0,0,0,0,1.9,N,,
PJC,2015,JUMO,8.1,0,0,0,0,0,0,3.4,N,,
PJC,2015,JUMO,8.3,4.4,7,0,0,0,0,2.5,N,,
PJC,2015,JUMO,8.5,0,0,0,0,0,0,2.5,N,,
PJC,2015,JUMO,8.7,0,0,0,0,0,0,1.2,N,,
PJC,2015,JUMO,8.9,0,0,0,0,0,0,2,N,,
PJC,2015,JUMO,9,7.1,18,10.2,9.8,0,0,2.2,N,,
PJC,2015,JUMO,9.1,0,0,0,0,0,0,0.7,N,,
PJC,2015,JUMO,9.2,0,0,0,0,0,0,1.5,N,,
PJC,2015,JUMO,9.2,0,0,0,0,0,0,0.8,N,,
PJC,2015,JUMO,9.2,5.1,0,0,0,0,0,1.45,N,,
