BM_vol,BM_vol_dens,BM_vol_dens_sd,BM_vol_sd,ESD_vol,ESD_vol_dens,ESD_vol_dens_sd,ESD_vol_sd,region
130.271997276,242.8967168257,33.3101993166,39.4710171646,37.4260627748,48.5603284021,3.3956178972,4.6886813924,3628
143.7786514204,226.7929955618,23.7833054932,31.8839860313,39.1972827011,47.7700109641,2.1046456267,3.7737290647,16465
126.706899286,270.6807467513,39.7798196515,29.4428717287,37.579268788,51.7909768036,3.3398499551,3.7275793567,11380
112.2330202168,235.4196510407,45.4312664183,26.8126491148,34.4862151959,47.0852185715,4.5268505817,4.8467483854,4768
122.5948538025,231.5540965028,37.4431750688,26.6765868902,35.9101617182,49.1889608408,3.5523200233,4.0054419844,15022
127.9857386817,237.4857743207,27.7578874008,25.2932896872,36.2011769866,50.2205417304,2.5941013894,3.857152053,13717
249.0685997618,270.5790012324,19.8566618136,37.7198405977,49.564697631,51.979343703,1.842513678,3.7876977044,43390
110.5299593451,238.0385017725,31.3301468881,25.2084633842,34.6405728493,48.5865319256,2.8231726078,4.2977314265,4524
163.3900250236,249.0631118775,48.3012485983,38.3371356451,41.4642283956,50.8028268236,4.2430904522,5.262666358,9240
105.014261623,249.7599845745,29.8725885569,24.3710772981,34.1128013797,49.9428150108,2.608535266,3.5642322624,7573
158.0273816398,236.9072739058,20.465557471,21.7004351523,41.3285363562,49.011600955,2.3510235114,2.7337212557,7432
125.4387824025,240.415842234,43.3772783612,36.8015846101,35.4669702756,50.543949413,3.9671089939,5.2944428072,8288
163.7978396733,230.8168151682,20.7605186166,31.5040488031,41.1857313868,48.3487462549,2.0206234946,4.4813092657,2908
141.7762340977,237.0719479785,20.0379477357,33.4070028742,37.8116403212,49.4045315081,2.0193383376,5.5348934129,11468
113.4092491612,262.6378027281,28.8720783759,19.446412074,34.8706601362,51.2171683856,2.7977887054,2.8211530815,6438
148.6936368581,228.1336499104,39.9343973692,25.2924171506,38.6633385771,48.4873637106,3.818183339,3.3357635775,4958
139.9805359529,202.5217179478,30.4793884308,32.9001402451,38.7496409011,46.8314019765,3.7814218931,3.8724210602,8817
142.7081187437,236.6265388425,29.5921927298,30.3335120941,38.4661742713,49.2564637401,2.9724029334,3.9353445487,2519
180.7252013734,271.9831843047,46.3278109351,58.0685292451,42.966573219,51.6900775393,3.7473200548,5.8468474914,41168
179.3857316334,245.8753340857,33.2137785513,32.076116393,42.5246005559,50.0840071576,2.7409218724,3.397048944,42136
172.8252840174,226.2930280033,40.7037741561,24.3711731413,41.7122127742,49.4266597728,4.0286775394,3.5450087703,11767
150.3328576801,238.5017127986,16.5408272885,41.0750003977,39.1416513604,50.010620987,1.9209788454,4.9220107524,44437
325.0867035128,266.1099790317,35.4397186555,28.7067893124,57.5811724965,51.7284807618,3.7766794645,2.3651815675,11987
142.443440005,217.2978213421,42.6879375821,16.8138034967,38.2619234463,48.1255292844,4.6160075648,1.9516367612,8023
152.3729773668,236.7903205282,26.2592286884,21.4724619516,39.7446729917,49.0600026122,2.647770631,2.5642908725,10931
134.209010612,227.3719445407,36.7146347044,21.0996857509,36.2568845922,49.1857671904,3.8230513946,3.1006993594,5300
131.6215088127,230.1462997483,31.2473338146,12.5737432888,37.0617119825,47.9718996882,3.3289283565,1.7361937903,5178
126.2358001747,216.6268829899,41.9770945426,27.6821302106,36.2434771222,48.085314797,4.3647932309,3.8419883116,36843
119.4307130737,259.3882274153,38.3115721597,35.8144401387,36.1392931045,51.6960277503,4.0153886349,5.2435975859,38941
123.9186661221,219.3732338979,36.1213339653,22.7275900981,35.4542824784,48.3572707457,4.197128458,3.5329387267,8015
140.5349202624,258.5710156589,36.7233226166,28.6837630364,38.4026109899,51.1859703616,3.1689356798,4.2666948404,38105
161.2735552055,276.4517466274,38.7612411782,29.7384381789,42.2712198552,53.2502856304,3.41419384,3.7717062714,9975
161.7876707375,240.5502851773,21.3658015496,21.4428741566,41.6045042917,49.8801716506,2.1181332091,2.7255503852,13542
126.6157129583,239.1367604214,31.8487359076,23.5994280541,35.7754867861,48.6136743858,3.51206733,3.9437042227,44735
241.8876843785,256.3170937997,25.1578655063,25.6164465334,50.0063474941,50.9272046781,2.303823152,2.2563750375,43252
154.9823924782,222.734013232,21.4378734116,11.8931793925,40.0405159592,47.6545000771,2.5479712617,1.7009164781,6681
141.4234486778,263.8817876349,41.3591673012,34.5823371136,38.4739009074,51.7267019647,3.4974686435,3.9110544635,15128
99.5245350468,219.3043457812,30.2570565204,30.6391285103,32.8589643697,48.1909826487,3.3475295004,5.6849252963,3673
123.1676939746,244.8429527693,27.2094446878,20.782657311,35.5912782292,50.6106371068,2.8467061829,3.0217761968,9736
123.5852777218,255.5607276066,27.04804378,33.5967422235,36.2143731238,50.3696015595,2.9884793512,5.0738464552,27943
