SITE,YEAR,,GPP,PRECIP,RE,TA
Mpg,2009,1,23.883339888,0.0,4.871713679999999,2.2334805779569886
Mpg,2009,2,23.711193624960003,0.0,4.358388690720001,4.164776785714287
Mpg,2009,3,29.350542834000002,0.0,2.2390400073600003,6.5592294422043
Mpg,2009,4,17.70556012632,0.0,7.283392556760001,9.498130888888891
Mpg,2009,5,10.594164748320003,0.0,18.4453201944,15.975364361559134
Mpg,2009,6,5.918291347680001,18.542,21.541963996800003,18.79227303472222
Mpg,2009,7,20.21753304,65.786,61.54468179840001,21.310556612903234
Mpg,2009,8,15.075597294719998,14.478,34.941345084000005,20.343222426075272
Mpg,2009,9,30.901682712239992,76.454,41.875649136,15.069653541666671
Mpg,2009,10,32.271170329440004,35.306000000000004,22.433862016800003,9.401799435483872
Mpg,2009,11,21.04637845464001,6.603999999999999,8.158093314479999,6.746676680555551
Mpg,2009,12,14.927959004903997,32.004000000000005,7.374313729008,-1.7022198655913983
Mpg,2010,1,22.9744397412,38.354,12.04317889344,-0.6209294211850832
Mpg,2010,2,26.159896773360003,40.132,12.740403401280002,-0.7350674032738095
Mpg,2010,3,43.54923776831999,52.07000000000001,21.1053597624,3.992228723118278
Mpg,2010,4,67.11690687120002,24.384,35.66588937768,9.398723166666661
Mpg,2010,5,75.9635414352,19.304,53.04043825199998,14.291300309139787
Mpg,2010,6,54.292494391199995,28.194000000000003,64.95557076,21.11681944444445
Mpg,2010,7,51.0145468632,74.93000000000002,64.91261051999999,20.060472849462368
Mpg,2010,8,57.85193754720001,4.064,55.138869719999995,20.498098118279568
Mpg,2010,9,35.84508521112001,27.686,28.721766131999996,18.86486805555554
Mpg,2010,10,50.529404862720014,27.177999999999997,30.584800322639992,12.135872708333332
Mpg,2010,11,35.126630121599995,0.0,6.883325891784001,4.8657638888888926
Mpg,2010,12,23.81523170976,11.684000000000001,11.146343651279999,4.21663815860215
Mpg,2011,1,21.772821189600002,6.35,9.036183653495998,0.9410942862045297
Mpg,2011,2,27.09528135408,13.97,12.92483206152,1.2885901860119024
Mpg,2011,3,41.84169828624,2.286,11.133249634079998,9.068785631720434
Mpg,2011,4,32.01874063128,1.524,15.364204766352,11.844055555555554
Mpg,2011,5,27.669956475600003,0.508,13.258490391359997,13.474858870967749
Mpg,2011,6,15.75820302408,0.0,19.4024754,22.212118055555553
Mpg,2011,7,11.206484803439997,27.431999999999995,24.517371816000004,21.89137768817204
Mpg,2011,8,43.1952035688,78.99400000000001,84.355539264,21.56579301075268
Mpg,2011,9,42.158886788880004,26.924,34.4435849208,16.783663111111107
Mpg,2011,10,33.892922977199994,30.226000000000003,18.34865749872,11.72553501344086
Mpg,2011,11,27.061599884400003,14.732,8.2770795780732,5.071638888888888
Mpg,2011,12,10.97528648616,52.83200000000001,20.788948689119994,-1.180492896505378
Mpg,2012,1,25.687655912879997,7.112,16.98995857392,3.4316890408373375
