SITE,YEAR,,GPP,PRECIP,RE,TA
Mpg,2009,1,23.53323654954,7.305548,4.76060938326,2.231165396505375
Mpg,2009,2,23.433231614091838,5.203952,4.313603020288141,4.175293199404763
Mpg,2009,3,29.400194047299696,8.906764,2.4277622854324137,6.527744744623658
Mpg,2009,4,17.711505898063088,10.808208,7.580182107866577,9.502649840277778
Mpg,2009,5,9.599297579533259,18.614136000000002,20.61859570703088,15.981586673387088
Mpg,2009,6,5.529061835099999,35.55492,22.732102308600542,18.802662388888887
Mpg,2009,7,19.320685035532208,65.786,64.05833673786942,21.301526888440858
Mpg,2009,8,14.49860280540174,14.478,35.20540913655888,20.33453669354838
Mpg,2009,9,29.34976346011926,76.654152,44.069948582102995,15.080298055555557
Mpg,2009,10,31.996071035937007,35.406076000000006,22.680472745244415,9.38510453629032
Mpg,2009,11,20.97462259870904,11.207495999999999,8.198181997882793,6.727622722222218
Mpg,2009,12,14.237327851661087,33.004760000000005,7.43541143923219,-1.7634633467741934
Mpg,2010,1,23.450016464212496,38.354,13.71770355681649,-0.6112256317204302
Mpg,2010,2,27.706872453058626,40.132,14.19374090349259,-0.411663861607143
Mpg,2010,3,44.25439780838448,52.07000000000001,22.515270359658118,4.0894810416666685
Mpg,2010,4,68.63232055739145,24.384,38.5763665685427,9.419415402777775
Mpg,2010,5,78.27002199638984,19.304,56.653363730314446,14.300917936827958
Mpg,2010,6,58.38142197087902,28.194000000000003,70.963746446025,21.11354015972222
Mpg,2010,7,52.908120009570595,74.93000000000002,70.23701079355861,20.060092762096772
Mpg,2010,8,59.258685056154846,4.064,57.70988868344038,20.499476008064516
Mpg,2010,9,36.47499884379216,27.686,30.293333400379495,18.86228696527778
Mpg,2010,10,49.59654313670388,27.177999999999997,29.855312153921467,12.13362676075269
Mpg,2010,11,29.81227257870129,0.0,7.24249346927265,4.857596652777776
Mpg,2010,12,24.397593573375715,11.684000000000001,12.236525731738963,4.138078111559139
Mpg,2011,1,22.3615507381704,6.35,10.365157183655041,0.9435328225806441
Mpg,2011,2,27.205976168755384,13.97,12.701080049400865,1.0513067261904734
Mpg,2011,3,41.585671234864435,2.286,11.246762046832593,9.173807069892472
Mpg,2011,4,31.74291617772276,1.524,15.382944418633086,11.839666513888888
Mpg,2011,5,27.022838700879714,0.508,13.119230325322977,13.480598380376346
Mpg,2011,6,15.59444152393638,0.254,19.314447164226358,22.21700452083334
Mpg,2011,7,10.887628377810596,27.177999999999997,25.355198896585748,21.88617638440861
Mpg,2011,8,41.025204802665,78.99400000000001,83.131563195279,21.563555987903232
Mpg,2011,9,40.66677206382834,26.924,34.26010416069552,16.78133671527778
Mpg,2011,10,33.001177652158326,30.226000000000003,18.235193324578038,11.71006858198925
Mpg,2011,11,26.793970485582093,14.732,8.254962119621455,5.067397923611111
Mpg,2011,12,13.63806721380132,52.83200000000001,20.14000515237848,-1.3505038373655918
Mpg,2012,1,27.491832461642762,7.112,15.865871334183339,2.935953064516129
Mpg,2012,2,30.652019610049983,2.794,11.09511351269314,1.0173014439655168
Mpg,2012,3,44.58984999451398,7.8740000000000006,20.72386646013384,7.728395403225813
Mpg,2012,4,56.915522801367665,13.715999999999998,24.556064606868595,11.868059048611103
Mpg,2012,5,41.60676782167525,6.35,29.148631446402536,15.527420013440866
Mpg,2012,6,26.053848825009844,0.762,27.90186244352037,22.211540819444448
Mpg,2012,7,21.692709250590596,23.622,26.509224662184234,21.41666342741935
Mpg,2012,8,18.420205174204323,17.018,21.70225850076918,21.668925194892473
Mpg,2012,9,35.202224274220804,51.054,35.607684901053055,17.819481118055556
Mpg,2012,10,32.176140864431034,1.778,16.536185755567566,13.20759210349462
Mpg,2012,11,13.346818736040001,2.3000000000000003,6.6187698730200015,8.189186055555556
Mpg,2012,12,10.016095227053183,22.860000000000003,12.735110967890861,1.3152754166666665
Mpg,2013,1,10.54475830811448,8.128,14.1804791631738,-0.9656384139784945
Mpg,2013,2,15.428538009538562,12.446,10.063502906067455,0.572129813988095
Mpg,2013,3,29.071824382713967,9.398,12.392002096782297,7.271341256720429
Mpg,2013,4,21.45523813226118,4.8260000000000005,10.9870271817001,9.992362486111114
Mpg,2013,5,10.438557466784149,3.302,10.775342509387114,15.022464301075273
Mpg,2013,6,9.58098108135798,9.143999999999998,17.734893822221398,21.998689729166664
Mpg,2013,7,11.343958235051762,49.784,36.18273335262534,19.69314462365592
Mpg,2013,8,51.8483909190654,88.67999999999999,75.95403888606302,19.51464103494623
Mpg,2013,9,53.4158187395706,98.552,66.4211560643239,16.413059138888887
Mpg,2013,10,39.698653726275666,20.828,29.882070347129996,10.108493924731182
Mpg,2013,11,25.988738747261404,22.9,16.88333465460186,5.464310687500003
Mpg,2013,12,16.06004776225854,9.905999999999999,16.70620337014356,0.8028543615591396
Mpj,2007,1,0.0,13.809999999999999,0.0,
Mpj,2007,2,0.0,14.27,0.0,
Mpj,2007,3,0.0,29.230000000000004,0.0,
Mpj,2007,4,0.0,17.720000000000002,0.0,
Mpj,2007,5,0.0,45.940000000000005,0.0,
Mpj,2007,6,0.0,14.24,0.0,
Mpj,2007,7,0.0,51.209999999999994,0.0,
Mpj,2007,8,0.0,24.040000000000003,0.0,
Mpj,2007,9,0.0,28.270000000000003,0.0,
Mpj,2007,10,0.0,6.29,0.0,
Mpj,2007,11,12.781660933668599,18.01379,10.317232395683998,5.976294435460371
Mpj,2007,12,22.127554979026197,33.02502,21.316708667185196,-0.3145393556966351
Mpj,2008,1,15.178141367299796,17.51329,15.094584574056,-1.78689123342294
Mpj,2008,2,30.9630044970846,18.81426,18.60647391274752,2.5171257758620698
Mpj,2008,3,55.56414383159041,10.207759999999999,22.462878848274002,5.338857782258067
Mpj,2008,4,52.53358149906479,10.00755,21.148538626332,9.308891194444438
Mpj,2008,5,45.09426099400381,19.414789999999996,29.105346956579996,13.817551290322582
Mpj,2008,6,32.761187032672794,0.30023,27.9891521127,20.666019791666663
Mpj,2008,7,48.40208947558799,84.31402,63.81708852258001,19.2676712701613
Mpj,2008,8,94.345517527038,83.36285000000001,87.77579174046001,18.53959961021505
Mpj,2008,9,80.85854114701199,26.72019,62.573471349840005,15.656909236111112
Mpj,2008,10,69.07935325908598,77.45872,47.71811344455001,11.442158044354843
Mpj,2008,11,56.37006227060999,5.6043,27.120181603158002,5.58602123611111
Mpj,2008,12,34.689839803808404,16.21254,20.371466515823997,0.9577495497311831
Mpj,2009,1,38.82761871805459,7.305548,23.787427332497508,2.231165396505375
Mpj,2009,2,46.88286691686228,5.203952,19.48795579114902,4.065541093750001
Mpj,2009,3,60.273098296606804,8.906764,24.280408540724576,6.0221598185483876
Mpj,2009,4,54.26835271382861,10.808208,25.239802663287545,9.175738458333331
Mpj,2009,5,43.4561015527596,18.614136000000002,34.7172431610852,15.90817497311828
Mpj,2009,6,38.63286362456532,33.62553600000001,37.5934418563381,18.757328194444444
Mpj,2009,7,48.24628469077501,49.03724,62.1219575110779,21.361485685483874
Mpj,2009,8,41.437281852952566,15.111476,41.16685285968932,20.31427866935484
Mpj,2009,9,61.7479558371234,102.77804800000001,66.13197128989381,14.995072083333328
Mpj,2009,10,73.20748358757886,36.42766399999999,51.2657723510514,9.057121202956987
Mpj,2009,11,55.291836970198425,10.50798,32.68544294528424,6.299892326388886
Mpj,2009,12,22.518408782640954,31.123635999999998,28.069261381446847,-2.170629731182795
Mpj,2010,1,23.851986137066703,38.82948799999999,27.87835615002468,-0.9218468951612904
Mpj,2010,2,29.4307416686997,37.628575999999995,22.91057909110962,-0.40958110119047586
Mpj,2010,3,55.376317435295874,45.234352,34.119979191451804,3.762721922043013
Mpj,2010,4,92.90323967315831,26.219912,52.72010980990613,9.065947520833333
Mpj,2010,5,111.46889368384434,18.01368,71.3354181611238,14.086508783602147
Mpj,2010,6,90.0740909962476,22.299999999999997,80.09172316664947,21.125423270833334
Mpj,2010,7,93.87260425598399,76.1,96.91640361850324,20.181766901881723
Mpj,2010,8,92.1499253533645,3.4,71.21942637484065,20.569151586021505
Mpj,2010,9,64.41109463756304,30.200000000000003,45.14665653844201,18.88434310416668
Mpj,2010,10,75.13808998969674,20.200000000000003,41.24441866802905,11.937232869623653
Mpj,2010,11,43.53695211872377,0.1,23.658418617814615,4.2708017777777805
Mpj,2010,12,36.190588781917796,10.7,24.803129558110985,3.4846542338709665
Mpj,2011,1,27.791582376796374,5.6,25.0066744586955,0.03960471774193478
Mpj,2011,2,35.65245860214768,11.1,25.8397194981132,0.37005161458333585
Mpj,2011,3,58.30430810345352,2.3,22.83293543135814,8.726957137096774
Mpj,2011,4,47.05551940850893,0.7,25.520386519672204,11.43287602777778
Mpj,2011,5,39.81924275060861,0.7999999999999999,24.679110903647576,13.28395340053763
Mpj,2011,6,31.79174871776688,0.9,30.972870674060932,22.027282444444445
Mpj,2011,7,28.238045760246052,38.699999999999996,34.1207099868609,22.085011559139783
Mpj,2011,8,79.70148465346979,88.4,101.21165579674799,21.811362473118276
Mpj,2011,9,70.29330428368422,28.900000000000002,53.23979269719648,16.7868964375
Mpj,2011,10,51.82165306283905,29.0,30.312267390567,11.592374502688163
Mpj,2011,11,37.769763734773036,12.5,20.638274333270946,4.624588444444444
Mpj,2011,12,19.39267787222538,54.9,42.53519196844848,-1.8731636088709684
Mpj,2012,1,42.217739812235884,6.0,32.85537235950114,2.2859357795698934
Mpj,2012,2,36.177772179220554,3.3000000000000003,19.52309408330988,0.42637033764367716
Mpj,2012,3,69.43229283710015,1.9999999999999998,34.11081922805676,7.164229280913979
Mpj,2012,4,88.73879204937204,14.2,38.676444100045195,11.570531791666664
Mpj,2012,5,68.26645006955947,5.6,46.06495505875261,15.374357540322581
Mpj,2012,6,53.218720952494195,0.30000000000000004,46.82400619671162,22.19799158333333
Mpj,2012,7,38.72280109913621,34.4,51.61657305495456,20.98621713709677
Mpj,2012,8,31.97904522834564,21.5,38.14033691347506,21.094851202956992
Mpj,2012,9,63.17786957660946,65.4,63.006031210411805,17.315368527777785
Mpj,2012,10,57.51065716041925,1.8,40.0196954980134,12.937123541666667
Mpj,2012,11,30.62462792497992,2.3000000000000003,16.3236608595594,8.189186055555556
Mpj,2012,12,20.00632207241322,23.5,19.518635519195833,0.9850006720430106
Mpj,2013,1,17.7272709230547,6.8,18.8104012077978,-1.304300530913978
Mpj,2013,2,29.84902360900758,14.5,17.768049959054302,0.35121723958333334
Mpj,2013,3,57.68202635008199,7.699999999999999,23.019195715533904,7.27182889112903
Mpj,2013,4,48.4610467758831,5.1,19.830589127099284,10.061278555555553
Mpj,2013,5,41.223290032100884,4.0,21.32568745833708,14.809886666666657
Mpj,2013,6,31.594343176626296,8.899999999999999,29.253122520026402,22.158444312500006
Mpj,2013,7,28.182094439175906,39.5,41.60063274940715,19.786768245967743
Mpj,2013,8,81.091401974127,88.5,101.68723347981661,19.600031290322576
Mpj,2013,9,77.10754771447918,116.50000100000001,86.37492958201892,16.487450284722218
Mpj,2013,10,71.4835426099059,17.3,49.5332883766782,9.853104247311828
Mpj,2013,11,44.95783007617307,22.0,31.269885741,5.043578513888887
Mpj,2013,12,27.448586250164272,9.700000000000001,29.876953812725514,0.134247392473118
